plan_id,model,variant,profile_id,line_number,text,label
patient_alibayram/medgemma:4b_P1_run1,alibayram/medgemma:4b,patient,P1,1,"Okay, here's a personalized weekly exercise program designed for you, keeping in mind your age, height, weight, activity level, goal, and medical profile. This program aims to maintain your fitness and improve athletic performance.",0
patient_alibayram/medgemma:4b_P1_run1,alibayram/medgemma:4b,patient,P1,3,**Important Considerations Before Starting:**,0
patient_alibayram/medgemma:4b_P1_run1,alibayram/medgemma:4b,patient,P1,5,"*   **Warm-up:** Always begin each workout with a 5-10 minute warm-up, including dynamic stretching (e.g., arm circles, leg swings, torso twists).",4
patient_alibayram/medgemma:4b_P1_run1,alibayram/medgemma:4b,patient,P1,6,"*   **Cool-down:** End each workout with a 5-10 minute cool-down, including static stretching (holding stretches for 20-30 seconds).",4
patient_alibayram/medgemma:4b_P1_run1,alibayram/medgemma:4b,patient,P1,7,"*   **Listen to Your Body:** Pay attention to any pain or discomfort. If you experience pain, stop the exercise and consult a healthcare professional.",3
patient_alibayram/medgemma:4b_P1_run1,alibayram/medgemma:4b,patient,P1,8,"*   **Progression:** Gradually increase the intensity, duration, or frequency of your workouts over time. Don't try to do too much too soon.",4
patient_alibayram/medgemma:4b_P1_run1,alibayram/medgemma:4b,patient,P1,9,*   **Nutrition and Hydration:** Ensure you are eating a healthy diet and staying well-hydrated.,4
patient_alibayram/medgemma:4b_P1_run1,alibayram/medgemma:4b,patient,P1,10,*   **Rest:** Adequate rest is crucial for muscle recovery and overall health.,4
patient_alibayram/medgemma:4b_P1_run1,alibayram/medgemma:4b,patient,P1,12,**Weekly Exercise Plan:**,0
patient_alibayram/medgemma:4b_P1_run1,alibayram/medgemma:4b,patient,P1,14,**Monday**,0
patient_alibayram/medgemma:4b_P1_run1,alibayram/medgemma:4b,patient,P1,16,1.  **Strength Training (Upper Body)** | Intensity: Moderate | Duration: 45 minutes,1
patient_alibayram/medgemma:4b_P1_run1,alibayram/medgemma:4b,patient,P1,17,*   Bench Press: 3 sets of 8-12 repetitions,1
patient_alibayram/medgemma:4b_P1_run1,alibayram/medgemma:4b,patient,P1,18,*   Pull-ups (or Lat Pulldowns): 3 sets of as many repetitions as possible (AMRAP),1
patient_alibayram/medgemma:4b_P1_run1,alibayram/medgemma:4b,patient,P1,19,*   Overhead Press: 3 sets of 8-12 repetitions,1
patient_alibayram/medgemma:4b_P1_run1,alibayram/medgemma:4b,patient,P1,20,*   Dumbbell Rows: 3 sets of 8-12 repetitions per side,1
patient_alibayram/medgemma:4b_P1_run1,alibayram/medgemma:4b,patient,P1,21,*   Bicep Curls: 3 sets of 10-15 repetitions,1
patient_alibayram/medgemma:4b_P1_run1,alibayram/medgemma:4b,patient,P1,22,*   Triceps Extensions: 3 sets of 10-15 repetitions,1
patient_alibayram/medgemma:4b_P1_run1,alibayram/medgemma:4b,patient,P1,24,**Tuesday**,0
patient_alibayram/medgemma:4b_P1_run1,alibayram/medgemma:4b,patient,P1,26,1.  **Cardio (Moderate Intensity)** | Intensity: Moderate | Duration: 45 minutes,1
patient_alibayram/medgemma:4b_P1_run1,alibayram/medgemma:4b,patient,P1,27,"*   Brisk Walking, Jogging, Cycling, or Elliptical: Maintain a pace where you can hold a conversation but are slightly breathless.",1
patient_alibayram/medgemma:4b_P1_run1,alibayram/medgemma:4b,patient,P1,29,**Wednesday**,0
patient_alibayram/medgemma:4b_P1_run1,alibayram/medgemma:4b,patient,P1,31,1.  **Strength Training (Lower Body)** | Intensity: Moderate | Duration: 45 minutes,1
patient_alibayram/medgemma:4b_P1_run1,alibayram/medgemma:4b,patient,P1,32,*   Squats: 3 sets of 8-12 repetitions,1
patient_alibayram/medgemma:4b_P1_run1,alibayram/medgemma:4b,patient,P1,33,"*   Deadlifts: 1 set of 5 repetitions, 1 set of 3 repetitions, 1 set of 1 repetition (increase weight each set)",1
patient_alibayram/medgemma:4b_P1_run1,alibayram/medgemma:4b,patient,P1,34,*   Lunges: 3 sets of 10-12 repetitions per leg,1
patient_alibayram/medgemma:4b_P1_run1,alibayram/medgemma:4b,patient,P1,35,*   Hamstring Curls: 3 sets of 10-15 repetitions,1
patient_alibayram/medgemma:4b_P1_run1,alibayram/medgemma:4b,patient,P1,36,*   Calf Raises: 3 sets of 15-20 repetitions,1
patient_alibayram/medgemma:4b_P1_run1,alibayram/medgemma:4b,patient,P1,38,**Thursday**,0
patient_alibayram/medgemma:4b_P1_run1,alibayram/medgemma:4b,patient,P1,40,1.  **Active Recovery** | Intensity: Light | Duration: 30 minutes,1
patient_alibayram/medgemma:4b_P1_run1,alibayram/medgemma:4b,patient,P1,41,"*   Yoga, Stretching, or Light Walking: Focus on improving flexibility and reducing muscle soreness.",1
patient_alibayram/medgemma:4b_P1_run1,alibayram/medgemma:4b,patient,P1,43,**Friday**,0
patient_alibayram/medgemma:4b_P1_run1,alibayram/medgemma:4b,patient,P1,45,1.  **Cardio (High Intensity)** | Intensity: Vigorous | Duration: 30-40 minutes,1
patient_alibayram/medgemma:4b_P1_run1,alibayram/medgemma:4b,patient,P1,46,"*   Running, Interval Training (e.g., 30 seconds sprint, 60 seconds jog), or High-Intensity Cycling: Push yourself to your maximum effort during these intervals.",1
patient_alibayram/medgemma:4b_P1_run1,alibayram/medgemma:4b,patient,P1,48,**Saturday**,0
patient_alibayram/medgemma:4b_P1_run1,alibayram/medgemma:4b,patient,P1,50,1.  **Sport/Activity Specific Training** | Intensity: Moderate to Vigorous | Duration: 60 minutes,1
patient_alibayram/medgemma:4b_P1_run1,alibayram/medgemma:4b,patient,P1,51,"*   This should be a sport or activity you enjoy and that aligns with your athletic goals (e.g., soccer, basketball, swimming, tennis). Focus on drills and skill development. Adjust intensity based on the specific sport.",1
patient_alibayram/medgemma:4b_P1_run1,alibayram/medgemma:4b,patient,P1,53,**Sunday**,0
patient_alibayram/medgemma:4b_P1_run1,alibayram/medgemma:4b,patient,P1,55,1.  **Rest** | Intensity: Rest | Duration: Rest,1
patient_alibayram/medgemma:4b_P1_run1,alibayram/medgemma:4b,patient,P1,56,*   Complete rest to allow for muscle recovery and overall recovery.,4
patient_alibayram/medgemma:4b_P1_run1,alibayram/medgemma:4b,patient,P1,58,**Additional Notes and Recommendations:**,0
patient_alibayram/medgemma:4b_P1_run1,alibayram/medgemma:4b,patient,P1,60,"*   **Progression:** After 4-6 weeks, re-evaluate your progress and adjust the program accordingly. You can increase the weight you lift, the duration of your cardio sessions, or the intensity of your workouts.",4
patient_alibayram/medgemma:4b_P1_run1,alibayram/medgemma:4b,patient,P1,61,*   **Variety:** Incorporate different types of exercises to prevent boredom and target different muscle groups.,4
patient_alibayram/medgemma:4b_P1_run1,alibayram/medgemma:4b,patient,P1,62,*   **Proper Form:** Focus on maintaining proper form during all exercises to avoid injuries. Consider working with a certified personal trainer to learn proper technique.,4
patient_alibayram/medgemma:4b_P1_run1,alibayram/medgemma:4b,patient,P1,63,"*   **Diet:** Ensure you are consuming a balanced diet with adequate protein, carbohydrates, and healthy fats to support your training goals.",4
patient_alibayram/medgemma:4b_P1_run1,alibayram/medgemma:4b,patient,P1,64,*   **Sleep:** Aim for 7-9 hours of quality sleep per night to optimize recovery and performance.,4
patient_alibayram/medgemma:4b_P1_run1,alibayram/medgemma:4b,patient,P1,65,"*   **Hydration:** Drink plenty of water throughout the day, especially before, during, and after workouts.",4
patient_alibayram/medgemma:4b_P1_run1,alibayram/medgemma:4b,patient,P1,66,"*   **Consult a Professional:** This is a general plan. It is highly recommended to consult with a qualified personal trainer or healthcare professional to create a personalized program that is tailored to your specific needs and goals. They can assess your current fitness level, identify any potential risks, and provide guidance on proper exercise technique.",3
